地區,姓名,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,總收入,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入
南投縣第02選區,湯火聖,男,1956,民主進步黨,44397,41.25%,,是,9039990,3730050,4755800,300000,240000,13114,1026
彰化縣第02選區,林滄敏,男,1958,中國國民黨,77871,60.02%,*,是,16326927,5761200,4752500,5000000,802000,10000,1227
臺南縣第01選區,葉宜津,女,1960,民主進步黨,83909,54.57%,*,是,13351328,8016788,4746000,300000,272300,16200,40
臺北縣第11選區,陳永福,男,1958,民主進步黨,43580,28.76%,,否,8248677,3508688,4739850,0,0,0,139
臺南市第01選區,王昱婷,女,1973,中國國民黨,86040,49.72%,,是,15479175,5296250,4560000,5000000,604000,15800,3125
臺北縣第02選區,柯淑敏,女,1968,中國國民黨,54774,39.92%,,是,10728739,376000,4550000,5000000,800000,2000,739
臺北縣第07選區,莊碩漢,男,1955,民主進步黨,49008,41.61%,,是,9490496,4237700,4509000,300000,362400,80200,1196
彰化縣第04選區,謝章捷,男,1958,無黨籍及未經政黨推薦,11302,7.64%,,否,7614236,3164998,4449185,0,0,0,53
臺南縣第03選區,吳健保,男,1950,中國國民黨,76285,47.33%,,否,14017131,3569000,4416900,6000000,30000,1030,201
宜蘭縣第01選區,陳金德,男,1961,民主進步黨,81984,45.86%,,是,9720810,4588000,4312500,300000,520000,0,310
臺中縣第01選區,劉銓忠,男,1942,中國國民黨,59632,53.59%,*,是,12248000,2750000,4312000,5000000,186000,0,0
雲林縣第01選區,張嘉郡,女,1981,中國國民黨,86571,56.24%,*,否,16255811,5545400,4247000,5000000,1250000,1,213410
嘉義縣第01選區,翁重鈞,男,1955,中國國民黨,75489,57.47%,*,是,29044873,8644100,4230000,16000000,160000,10000,773
臺中市第01選區,蔡錦隆,男,1958,中國國民黨,84664,61.29%,*,是,17378624,7091800,4056000,5300000,921000,8700,1124
雲林縣第02選區,張碩文,男,1971,中國國民黨,79138,49.11%,*,是,10890203,1719000,4040000,5000000,130000,0,1203
桃園縣第02選區,郭榮宗,男,1954,民主進步黨,58577,44.91%,,是,7949053,3572000,3975000,300000,100000,2000,53
臺北縣第02選區,林淑芬,女,1973,民主進步黨,59225,43.17%,*,是,10574963,5243700,3945000,1060000,203000,3222,120041
臺中縣第04選區,徐中雄,男,1957,中國國民黨,68216,64%,*,是,12835878,2789200,3890000,5300000,846000,10000,678
彰化縣第01選區,柯金德,男,1960,民主進步黨,31516,21.07%,,否,6913042,2873000,3889000,51000,100000,0,42
雲林縣第02選區,尹伶瑛,女,1957,無黨籍及未經政黨推薦,17282,10.72%,,是,11072856,6666261,3700000,0,633100,73000,495
高雄縣第04選區,林岱樺,女,1972,民主進步黨,71450,48.45%,,是,10933827,6380200,3697513,300000,501000,53700,1414
臺北縣第06選區,林鴻池,男,1955,中國國民黨,69097,56.93%,*,是,13955332,4701288,3666000,5500000,88000,0,44
臺北市第03選區,蔣孝嚴,男,1941,中國國民黨,99959,60.25%,*,是,10748926,1445576,3648000,5400000,210000,42700,2650
高雄縣第03選區,吳光訓,男,1950,中國國民黨,53205,43%,,是,10408172,1745100,3490000,5000000,172000,200,872
屏東縣第01選區,蘇震清,男,1965,民主進步黨,63453,46.9%,*,否,7988600,4001100,3450000,300000,237500,0,0
彰化縣第01選區,陳秀卿,女,1950,中國國民黨,67236,44.96%,*,是,10197763,1644990,3402000,5000000,150000,0,773
高雄市第04選區,李復興,男,1946,中國國民黨,74502,51.32%,*,是,15431134,3543800,3352000,8100000,412000,20500,2834
臺北市第07選區,田欣,男,1962,民主進步黨,46059,31.85%,,否,9397686,5930800,3314750,0,150000,2000,136
臺北市第06選區,羅文嘉,男,1966,民主進步黨,48240,32.45%,,否,9415981,5287792,3298000,300000,326000,196146,8043
花蓮縣第01選區,傅崐萁,男,1962,中國國民黨,62548,66.39%,*,是,9544187,1202000,3252000,5000000,90000,0,187
臺南市第01選區,陳亭妃,女,1974,民主進步黨,86983,50.27%,*,否,6597943,3103900,3076000,300000,100000,18000,43
桃園縣第04選區,楊麗環,女,1957,中國國民黨,80769,62.42%,*,是,11895439,3108600,2973000,5000000,813500,0,339
屏東縣第01選區,蔡豪,男,1958,無黨籍及未經政黨推薦,58727,43.41%,,是,3736020,0,2930000,0,806000,0,20
花蓮縣第01選區,盧博基,男,1949,民主進步黨,27207,28.88%,,是,7812051,4360000,2880000,395000,140000,36910,141
平原原住民,林正二,男,1952,親民黨,11925,18.19%,*,？,10504984,2613000,2825000,5000000,40000,26000,984
新竹市第01選區,呂學樟,男,1952,中國國民黨,99124,60.61%,*,是,10254138,2021488,2706000,5000000,510000,14400,2250
彰化縣第02選區,邱創進,男,1956,民主進步黨,47809,36.85%,,是,9984243,6458000,2595164,305000,617000,9000,79
彰化縣第03選區,楊宗哲,男,1956,無黨籍及未經政黨推薦,35989,23.82%,,是,6981516,4064200,2591000,0,296000,30000,316
高雄縣第01選區,顏文章,男,1947,民主進步黨,61679,45.68%,,是,4802099,1595800,2543000,585000,66000,12200,99
臺中縣第03選區,江連福,男,1958,中國國民黨,75563,54.95%,*,是,9020931,1350600,2533480,5000000,136000,0,851
臺北市第01選區,高建智,男,1953,民主進步黨,61408,38.79%,,是,8526685,5258500,2526000,300000,430000,11000,1185
臺北縣第09選區,林德福,男,1953,中國國民黨,98634,69.61%,*,是,9685191,2122300,2330000,5000000,200000,30000,2891
臺北縣第09選區,洪一平,男,1945,無黨籍及未經政黨推薦,27044,19.08%,,否,3233461,936900,2260000,0,0,36400,161
雲林縣第01選區,陳憲中,男,1948,民主進步黨,64921,42.17%,,是,5501000,2922000,2166400,300000,100000,12600,0
南投縣第01選區,林耘生,男,1972,民主進步黨,31489,32.87%,,是,5081000,2227000,2014000,300000,540000,0,0
苗栗縣第01選區,杜文卿,男,1954,民主進步黨,46905,41.98%,,是,6538032,4128000,1920000,300000,190000,0,32
南投縣第02選區,林明溱,男,1951,中國國民黨,62344,57.93%,*,否,10734317,2265000,1910000,6500000,0,58000,1317
臺北縣第08選區,張慶忠,男,1951,中國國民黨,94785,59.55%,*,是,7896517,944800,1820000,5000000,130000,200,1517
嘉義市第01選區,凌子楚,男,1965,台灣團結聯盟,14273,12.63%,,否,3563026,1696300,1766500,0,0,100117,109
山原原住民,高金素梅,女,1965,無黨團結聯盟,20012,23.72%,*,？,2056009,349500,1706500,0,0,0,9
臺北縣第06選區,王淑慧,女,1955,民主進步黨,51775,42.66%,,是,4443351,1902800,1690200,300000,550000,0,351
嘉義市第01選區,江義雄,男,1944,中國國民黨,52774,46.7%,*,是,11527518,1864060,1662800,8000000,0,0,658
金門縣第01選區,吳成典,男,1957,中國國民黨,9838,37.03%,,是,8650532,2898500,1633888,4100000,18000,0,144
彰化縣第04選區,蕭景田,男,1954,中國國民黨,60980,41.26%,*,否,9001474,2291700,1626800,5000000,0,82480,494
臺北市第08選區,周柏雅,男,1959,民主進步黨,38261,26.35%,,否,4359406,2753406,1575000,0,0,0,31000
高雄市第03選區,林進興,男,1953,無黨籍及未經政黨推薦,8225,7.11%,,是,5343649,3470600,1555000,0,316000,2000,49
嘉義縣第02選區,涂文生,男,1957,中國國民黨,48131,42.12%,,否,11614937,4038600,1546000,6000000,30000,0,337
山原原住民,孔文吉,男,1957,中國國民黨,22391,26.54%,*,,7772600,1229600,1490000,5000000,50000,3000,0
臺北縣第01選區,李顯榮,男,1947,民主進步黨,56594,39.83%,,是,3866908,571900,1480000,585000,1230000,0,8
